"","wage","education","experience","age","ethnicity","region","gender","occupation","sector","union","married","experience2"
"1",5.1,8,21,35,"hispanic","other","female","worker","manufacturing","no","yes",441
"2",4.95,9,42,57,"cauc","other","female","worker","manufacturing","no","yes",1764
"3",6.67,12,1,19,"cauc","other","male","worker","manufacturing","no","no",1
"4",4,12,4,22,"cauc","other","male","worker","other","no","no",16
"5",7.5,12,17,35,"cauc","other","male","worker","other","no","yes",289
"6",13.07,13,9,28,"cauc","other","male","worker","other","yes","no",81
"7",4.45,10,27,43,"cauc","south","male","worker","other","no","no",729
"8",19.47,12,9,27,"cauc","other","male","worker","other","no","no",81
"9",13.28,16,11,33,"cauc","other","male","worker","manufacturing","no","yes",121
"10",8.75,12,9,27,"cauc","other","male","worker","other","no","no",81
"11",11.35,12,17,35,"cauc","other","male","worker","other","yes","yes",289
"12",11.5,12,19,37,"cauc","other","male","worker","manufacturing","yes","no",361
"13",6.5,8,27,41,"cauc","south","male","worker","other","no","yes",729
"14",6.25,9,30,45,"cauc","south","male","worker","other","yes","no",900
"15",19.98,9,29,44,"cauc","south","male","worker","other","no","yes",841
"16",7.3,12,37,55,"cauc","other","male","worker","construction","no","yes",1369
"17",8,7,44,57,"cauc","south","male","worker","other","no","yes",1936
"18",22.2,12,26,44,"cauc","other","male","worker","manufacturing","yes","yes",676
"19",3.65,11,16,33,"cauc","other","male","worker","other","no","no",256
"20",20.55,12,33,51,"cauc","other","male","worker","other","no","yes",1089
"21",5.71,12,16,34,"cauc","other","female","worker","manufacturing","yes","yes",256
"22",7,7,42,55,"other","other","male","worker","manufacturing","yes","yes",1764
"23",3.75,12,9,27,"cauc","other","male","worker","other","no","no",81
"24",4.5,11,14,31,"other","south","male","worker","other","no","yes",196
"25",9.56,12,23,41,"cauc","other","male","worker","other","no","yes",529
"26",5.75,6,45,57,"cauc","south","male","worker","manufacturing","no","yes",2025
"27",9.36,12,8,26,"cauc","other","male","worker","manufacturing","no","yes",64
"28",6.5,10,30,46,"cauc","other","male","worker","other","no","yes",900
"29",3.35,12,8,26,"cauc","other","female","worker","manufacturing","no","yes",64
"30",4.75,12,8,26,"cauc","other","male","worker","other","no","yes",64
"31",8.9,14,13,33,"cauc","other","male","worker","other","no","no",169
"32",4,12,46,64,"cauc","south","female","worker","other","no","no",2116
"33",4.7,8,19,33,"cauc","other","male","worker","other","no","yes",361
"34",5,17,1,24,"cauc","south","female","worker","other","no","no",1
"35",9.25,12,19,37,"cauc","other","male","worker","manufacturing","no","no",361
"36",10.67,12,36,54,"other","other","male","worker","other","no","no",1296
"37",7.61,12,20,38,"other","south","male","worker","construction","no","yes",400
"38",10,12,35,53,"other","other","male","worker","construction","yes","yes",1225
"39",7.5,12,3,21,"cauc","other","male","worker","other","no","no",9
"40",12.2,14,10,30,"cauc","south","male","worker","manufacturing","no","yes",100
"41",3.35,12,0,18,"cauc","other","male","worker","other","no","no",0
"42",11,14,14,34,"cauc","south","male","worker","manufacturing","yes","yes",196
"43",12,12,14,32,"cauc","other","male","worker","manufacturing","no","yes",196
"44",4.85,9,16,31,"cauc","other","female","worker","manufacturing","no","yes",256
"45",4.3,13,8,27,"cauc","south","male","worker","construction","no","no",64
"46",6,7,15,28,"cauc","south","female","worker","manufacturing","no","yes",225
"47",15,16,12,34,"cauc","other","male","worker","manufacturing","no","yes",144
"48",4.85,10,13,29,"cauc","south","male","worker","other","no","no",169
"49",9,8,33,47,"cauc","other","male","worker","other","yes","yes",1089
"50",6.36,12,9,27,"cauc","other","male","worker","manufacturing","no","yes",81
"51",9.15,12,7,25,"cauc","other","male","worker","other","no","yes",49
"52",11,16,13,35,"cauc","other","male","worker","manufacturing","yes","yes",169
"53",4.5,12,7,25,"cauc","other","female","worker","manufacturing","no","yes",49
"54",4.8,12,16,34,"cauc","other","female","worker","manufacturing","no","yes",256
"55",4,13,0,19,"cauc","other","male","worker","other","no","no",0
"56",5.5,12,11,29,"cauc","other","female","worker","manufacturing","no","no",121
"57",8.4,13,17,36,"cauc","other","male","worker","manufacturing","no","no",289
"58",6.75,10,13,29,"cauc","other","male","worker","manufacturing","no","yes",169
"59",10,12,22,40,"other","other","male","worker","manufacturing","yes","no",484
"60",5,12,28,46,"cauc","other","female","worker","manufacturing","no","yes",784
"61",6.5,11,17,34,"cauc","other","male","worker","other","no","no",289
"62",10.75,12,24,42,"cauc","other","male","worker","construction","yes","yes",576
"63",7,3,55,64,"hispanic","south","male","worker","manufacturing","no","yes",3025
"64",11.43,12,3,21,"cauc","south","male","worker","construction","no","no",9
"65",4,12,6,24,"other","other","male","worker","manufacturing","yes","no",36
"66",9,10,27,43,"cauc","other","male","worker","construction","no","yes",729
"67",13,12,19,37,"other","south","male","worker","manufacturing","yes","yes",361
"68",12.22,12,19,37,"cauc","other","male","worker","construction","yes","yes",361
"69",6.28,12,38,56,"cauc","other","female","worker","manufacturing","no","yes",1444
"70",6.75,10,41,57,"other","south","male","worker","manufacturing","yes","yes",1681
"71",3.35,11,3,20,"other","south","male","worker","manufacturing","no","no",9
"72",16,14,20,40,"cauc","other","male","worker","other","yes","yes",400
"73",5.25,10,15,31,"cauc","other","male","worker","other","no","yes",225
"74",3.5,8,8,22,"hispanic","south","male","worker","manufacturing","no","yes",64
"75",4.22,8,39,53,"cauc","south","female","worker","manufacturing","no","yes",1521
"76",3,6,43,55,"hispanic","other","female","worker","manufacturing","yes","yes",1849
"77",4,11,25,42,"cauc","south","female","worker","manufacturing","yes","yes",625
"78",10,12,11,29,"cauc","other","male","worker","other","yes","yes",121
"79",5,12,12,30,"other","other","male","worker","other","no","yes",144
"80",16,12,35,53,"cauc","south","male","worker","manufacturing","yes","yes",1225
"81",13.98,14,14,34,"cauc","other","male","worker","other","no","no",196
"82",13.26,12,16,34,"cauc","other","male","worker","other","yes","yes",256
"83",6.1,10,44,60,"cauc","other","female","worker","manufacturing","yes","no",1936
"84",3.75,16,13,35,"cauc","south","female","worker","other","no","no",169
"85",9,13,8,27,"other","other","male","worker","manufacturing","yes","no",64
"86",9.45,12,13,31,"cauc","other","male","worker","manufacturing","no","no",169
"87",5.5,11,18,35,"cauc","other","male","worker","other","yes","yes",324
"88",8.93,12,18,36,"cauc","other","female","worker","other","no","yes",324
"89",6.25,12,6,24,"cauc","south","female","worker","other","no","no",36
"90",9.75,11,37,54,"cauc","south","male","worker","manufacturing","yes","yes",1369
"91",6.73,12,2,20,"cauc","south","male","worker","manufacturing","no","yes",4
"92",7.78,12,23,41,"cauc","other","male","worker","manufacturing","no","yes",529
"93",2.85,12,1,19,"cauc","other","male","worker","other","no","no",1
"94",3.35,12,10,28,"other","south","female","worker","manufacturing","no","yes",100
"95",19.98,12,23,41,"cauc","other","male","worker","manufacturing","no","yes",529
"96",8.5,12,8,26,"other","other","male","worker","other","yes","yes",64
"97",9.75,15,9,30,"cauc","other","female","worker","manufacturing","no","yes",81
"98",15,12,33,51,"cauc","other","male","worker","construction","yes","yes",1089
"99",8,12,19,37,"cauc","other","female","worker","manufacturing","no","yes",361
"100",11.25,13,14,33,"cauc","other","male","worker","other","no","yes",196
"101",14,11,13,30,"cauc","other","male","worker","other","yes","yes",169
"102",10,10,12,28,"cauc","other","male","worker","construction","no","yes",144
"103",6.5,12,8,26,"cauc","other","male","worker","other","no","no",64
"104",9.83,12,23,41,"cauc","other","male","worker","manufacturing","no","yes",529
"105",18.5,14,13,33,"cauc","other","female","worker","manufacturing","no","no",169
"106",12.5,12,9,27,"cauc","south","male","worker","other","no","yes",81
"107",26,14,21,41,"cauc","other","male","worker","other","yes","yes",441
"108",14,5,44,55,"cauc","south","male","worker","construction","no","yes",1936
"109",10.5,12,4,22,"cauc","other","male","worker","other","yes","yes",16
"110",11,8,42,56,"cauc","other","male","worker","manufacturing","no","yes",1764
"111",12.47,13,10,29,"cauc","other","male","worker","other","yes","yes",100
"112",12.5,12,11,29,"cauc","other","male","worker","construction","no","no",121
"113",15,12,40,58,"cauc","other","male","worker","construction","yes","yes",1600
"114",6,12,8,26,"cauc","other","male","worker","construction","no","no",64
"115",9.5,11,29,46,"cauc","south","male","worker","construction","no","yes",841
"116",5,16,3,25,"cauc","other","male","worker","other","yes","no",9
"117",3.75,11,11,28,"cauc","other","male","worker","construction","no","no",121
"118",12.57,12,12,30,"cauc","other","male","worker","other","yes","yes",144
"119",6.88,8,22,36,"hispanic","other","female","worker","other","no","yes",484
"120",5.5,12,12,30,"cauc","other","male","worker","other","no","yes",144
"121",7,12,7,25,"cauc","other","male","worker","other","yes","yes",49
"122",4.5,12,15,33,"cauc","other","female","worker","manufacturing","no","no",225
"123",6.5,12,28,46,"cauc","other","male","worker","other","no","yes",784
"124",12,12,20,38,"cauc","south","male","worker","manufacturing","yes","yes",400
"125",5,12,6,24,"cauc","south","male","worker","construction","no","no",36
"126",6.5,12,5,23,"cauc","south","male","worker","manufacturing","no","no",25
"127",6.8,9,30,45,"cauc","south","female","worker","manufacturing","no","yes",900
"128",8.75,13,18,37,"cauc","other","male","worker","other","no","yes",324
"129",3.75,12,6,24,"other","south","female","worker","manufacturing","no","yes",36
"130",4.5,12,16,34,"hispanic","south","male","worker","other","no","no",256
"131",6,12,1,19,"hispanic","south","male","worker","other","yes","no",1
"132",5.5,12,3,21,"cauc","other","male","worker","manufacturing","no","no",9
"133",13,12,8,26,"cauc","other","male","worker","other","no","yes",64
"134",5.65,14,2,22,"cauc","other","male","worker","manufacturing","no","no",4
"135",4.8,9,16,31,"other","other","male","worker","manufacturing","no","no",256
"136",7,10,9,25,"cauc","south","male","worker","construction","no","yes",81
"137",5.25,12,2,20,"cauc","other","male","worker","other","no","no",4
"138",3.35,7,43,56,"cauc","south","male","worker","manufacturing","no","yes",1849
"139",8.5,9,38,53,"cauc","other","male","worker","manufacturing","no","yes",1444
"140",6,12,9,27,"cauc","other","male","worker","other","no","yes",81
"141",6.75,12,12,30,"cauc","south","male","worker","other","no","yes",144
"142",8.89,12,18,36,"cauc","other","male","worker","manufacturing","no","yes",324
"143",14.21,11,15,32,"cauc","other","male","worker","manufacturing","yes","no",225
"144",10.78,11,28,45,"other","south","male","worker","construction","yes","yes",784
"145",8.9,10,27,43,"cauc","south","male","worker","construction","yes","yes",729
"146",7.5,12,38,56,"cauc","south","male","worker","other","no","yes",1444
"147",4.5,12,3,21,"cauc","other","female","worker","manufacturing","no","no",9
"148",11.25,12,41,59,"cauc","other","male","worker","other","yes","yes",1681
"149",13.45,12,16,34,"cauc","south","male","worker","other","yes","yes",256
